doc,coverage_n7,coverage_n13
0,0.002591,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0.004329,0
7,0,0
8,0.001527,0
9,0,0
10,0,0
11,0,0
12,0.002907,0
13,0,0
14,0.007937,0
15,0.010563,0
16,0,0
17,0.000814,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0.002755,0
24,0.002474,0
25,0,0
26,0.002335,0
27,0,0
28,0,0
29,0,0
30,0.006536,0
31,0,0
32,0,0
33,0.001166,0
34,0,0
35,0.004367,0
36,0.00094,0
37,0,0
38,0,0
39,0.001168,0
40,0.004615,0
41,0.020833,0
42,0.001493,0
43,0.004532,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0.031818,0.004673
52,0,0
53,0,0
54,0,0
55,0,0
56,0.008646,0
57,0,0
58,0.004286,0
59,0.001243,0
60,0.003279,0
61,0.003831,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0.000822,0
67,0,0
68,0.00152,0
69,0.011494,0
70,0,0
71,0,0
72,0.005952,0
73,0,0
74,0,0
75,0,0
76,0.064338,0.040892
77,0,0
78,0.002128,0
79,0.001218,0
80,0,0
81,0.58,0.495902
82,0,0
83,0,0
84,0.003846,0
85,0.01,0
86,0,0
87,0,0
88,0,0
89,0.006211,0
90,0.006787,0
91,0,0
92,0.105683,0.099298
93,0,0
94,0.002114,0
95,0,0
96,0,0
97,0.004167,0
98,0.000433,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0.12693,0.107452
104,0.004323,0
105,0,0
106,0.007828,0
107,0.002033,0
108,0.001779,0
109,0,0
110,0,0
111,0,0
112,0.00315,0
113,0.001332,0
114,0.000311,0
115,0,0
116,0,0
117,0.004065,0
118,0.007576,0
119,0,0
120,0,0
121,0,0
122,0.004785,0
123,0.003501,0
124,0,0
125,0,0
126,0,0
127,0.101045,0.064057
128,0,0
129,0,0
130,0.002155,0
131,0.003916,0
132,0.004525,0
133,0.002771,0
134,0,0
135,0,0
136,0.007266,0.0056
137,0,0
138,0.000981,0
139,0,0
140,0,0
141,0,0
142,0.001163,0
143,0,0
144,0.00289,0
145,0,0
146,0.017711,0.002747
147,0,0
148,0,0
149,0.001661,0
150,0.013825,0
151,0.140625,0.04918
152,0,0
153,0,0
154,0,0
155,0.008576,0
156,0,0
157,0.005714,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0.03125,0
166,0.001923,0
167,0,0
168,0,0
169,0,0
170,0.004545,0
171,0,0
172,0,0
173,0.003015,0
174,0.008299,0
175,0.002227,0
176,0,0
177,0,0
178,0,0
179,0.011236,0
180,0.002183,0
181,0,0
182,0.042667,0.01897
183,0,0
184,0.011765,0
185,0.004556,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0.036364,0
192,0,0
193,0.007455,0
194,0.040151,0.002528
195,0,0
196,0,0
197,0.012346,0
198,0.016835,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0.002331,0
204,0,0
205,0.001,0
206,0,0
207,0,0
208,0,0
209,0.001647,0
210,0.001779,0
211,0.001403,0
212,0,0
213,0.01599,0.002478
214,0.00761,0
215,0.025465,0.00622
216,0,0
217,0.019279,0.000842
218,0,0
219,0,0
220,0.274576,0.222603
221,0.005988,0
222,0.001312,0
223,0,0
224,0.003049,0
225,0,0
226,0,0
227,0,0
228,0.012399,0.001913
229,0.3125,0.133663
230,0.036585,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0.003155,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0.072368,0.004444
246,0.177419,0.035714
247,0.01087,0
248,0.001036,0
249,0.005668,0
250,0.011278,0
251,0.006,0
252,0,0
253,0.006582,0
254,0,0
255,0.010798,0.006623
