family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.584597,1,0.505216,0.45713,0.014831,0.746094,0.798828
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.584597,2,0.564613,0.50867,0.015956,0.746094,0.798828
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.584597,4,0.619377,0.553197,0.01685,0.746094,0.798828
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.584597,1,0.019177,0.202746,0.032582,0.310547,0.398438
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.584597,2,0.026252,0.238573,0.036599,0.310547,0.398438
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.584597,4,0.043841,0.269802,0.039651,0.310547,0.398438
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.584597,1,0.608985,0.524676,0.028508,0.820312,0.867188
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.584597,2,0.659847,0.584221,0.030294,0.820312,0.867188
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.584597,4,0.698172,0.637281,0.031861,0.820312,0.867188
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.584597,1,0.583998,0.552775,0.023876,0.919922,0.960938
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.584597,2,0.629616,0.61145,0.025056,0.919922,0.960938
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.584597,4,0.682997,0.657754,0.025694,0.919922,0.960938
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.584597,1,0.567869,0.548322,0.020313,0.933594,0.96875
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.584597,2,0.614369,0.600435,0.021068,0.933594,0.96875
sae/l42-1b,qwen36-27b/l42-1b,,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.584597,4,0.659199,0.647951,0.021847,0.933594,0.96875
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,1,0.802833,0.729047,0.017388,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,2,0.86072,0.79355,0.018027,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,4,0.914263,0.84586,0.018466,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,8,0.948672,0.891388,0.018776,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,16,0.980173,0.929675,0.018971,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,32,1.001195,0.96458,0.01915,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.584597,64,1.031467,0.999794,0.019298,0.869934,0.943359
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.584597,1,0.416949,0.51622,0.051034,0.60022,0.789062
