family,source,maemm,engine,run_tag,mu,n,n_rows,n_clusters,cosine,bo_source,k,mean,se_cluster,se_iid
random,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,512,cos_raw,per_target.jsonl,1,0.030782,0.00052,0.000517
random,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,512,cos_raw,per_target.jsonl,2,0.033032,0.000524,0.000521
random,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,512,cos_raw,per_target.jsonl,4,0.035071,0.000528,0.000526
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,1,0.027968,0.000486,0.00048
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,2,0.03115,0.000481,0.000476
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,4,0.033934,0.000475,0.000471
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,8,0.036461,0.000473,0.00047
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,16,0.038667,0.000473,0.00047
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,32,0.040752,0.000474,0.000472
random,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,512,cos_raw,per_target.jsonl,64,0.042709,0.000482,0.000479
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,1,0.033838,0.000507,0.000505
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,2,0.03664,0.000508,0.000506
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,4,0.039066,0.000509,0.000506
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,8,0.041194,0.000509,0.000506
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,16,0.043099,0.00051,0.000508
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,32,0.044806,0.000512,0.000508
random,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,/vol/archive/gavento-1/data/qwen3.6-27b/whiten_mu.npy,64,512,512,cos_raw,per_target.jsonl,64,0.046434,0.000518,0.000512
