family,source,row,feature,stratum,n,mean_cos,max_cos,bo_1,bo_2,bo_4,bo_8,bo_16,bo_32,bo_64,n_sae_gated
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,512,341,0,64,0.007364,0.029765,0.007364,0.010668,0.013305,0.017037,0.020503,0.023671,0.029765,4439
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,513,845,0,64,0.056088,0.100605,0.056088,0.064017,0.070504,0.080023,0.086687,0.097208,0.100605,4587
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,514,1437,0,64,0.138347,0.227373,0.138347,0.159666,0.17465,0.19021,0.208103,0.220274,0.227373,3888
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,515,3473,0,64,0.016542,0.031902,0.016542,0.018859,0.021234,0.023681,0.025669,0.02751,0.031902,3128
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,516,5439,0,64,0.194392,0.345307,0.194392,0.26135,0.29025,0.3132,0.324283,0.339896,0.345307,5332
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,517,5578,0,64,0.147768,0.197097,0.147768,0.166494,0.182076,0.186101,0.188967,0.192842,0.197097,4420
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,518,5585,0,64,0.016632,0.160734,0.016632,0.022294,0.029659,0.040693,0.05935,0.093218,0.160734,4831
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,519,8764,0,64,0.107095,0.273866,0.107095,0.156963,0.190853,0.21775,0.247603,0.25371,0.273866,6423
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,520,9891,0,64,0.069598,0.11469,0.069598,0.079055,0.085361,0.09523,0.101576,0.108341,0.11469,5723
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,521,10537,0,64,0.126863,0.156926,0.126863,0.137601,0.14393,0.148761,0.150472,0.15295,0.156926,4131
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,522,10941,0,64,0.053322,0.177175,0.053322,0.081543,0.101896,0.141927,0.170864,0.174486,0.177175,3878
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,523,12103,0,64,0.029647,0.109209,0.029647,0.035471,0.040866,0.047949,0.058808,0.078102,0.109209,5066
sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,524,12788,0,64,0.017283,0.047359,0.017283,0.021347,0.025403,0.031394,0.033704,0.039125,0.047359,4654
