set,family,arm,source,cosine,n,n_rows,n_clusters,bo_source,k,mean,se_cluster,se_iid
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,1,0.027968,0.000486,0.00048
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,2,0.03115,0.000481,0.000476
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,4,0.033934,0.000475,0.000471
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,8,0.036461,0.000473,0.00047
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,16,0.038667,0.000473,0.00047
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,32,0.040752,0.000474,0.000472
2026-09-21_v3_ctrl,random,2026-09-10_rl-8x2048-full@vllm:mu-none,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw,64,512,512,per_target.jsonl,64,0.042709,0.000482,0.000479
2026-09-21_v3_ctrl,random,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,512,512,per_target.jsonl,1,0.030782,0.00052,0.000517
2026-09-21_v3_ctrl,random,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,512,512,per_target.jsonl,2,0.033032,0.000524,0.000521
2026-09-21_v3_ctrl,random,2026-07-14_nla-av,2026-07-14_nla-av,cos_raw,4,512,512,per_target.jsonl,4,0.035071,0.000528,0.000526
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,1,0.033838,0.000507,0.000505
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,2,0.03664,0.000508,0.000506
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,4,0.039066,0.000509,0.000506
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,8,0.041194,0.000509,0.000506
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,16,0.043099,0.00051,0.000508
2026-09-21_v3_ctrl,random,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,32,0.044806,0.000512,0.000508
