family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,1,0.277297,0.321668,0.009276,0.207031,0.337891
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,2,0.322261,0.371622,0.009968,0.207031,0.337891
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,4,0.37097,0.416917,0.010674,0.207031,0.337891
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,1,0.236072,0.279742,0.015027,0.089844,0.1875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,2,0.291503,0.333585,0.016605,0.089844,0.1875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,4,0.337337,0.383358,0.018606,0.089844,0.1875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,1,0.22388,0.246898,0.012001,0.082031,0.171875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,2,0.278727,0.291848,0.013239,0.082031,0.171875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,4,0.321195,0.335706,0.014798,0.082031,0.171875
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,1,0.258478,0.296253,0.015675,0.179688,0.351562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,2,0.303611,0.343334,0.017333,0.179688,0.351562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,4,0.344385,0.386412,0.019328,0.179688,0.351562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,1,0.410583,0.463779,0.023398,0.476562,0.640625
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,2,0.480082,0.51772,0.024735,0.476562,0.640625
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,4,0.513793,0.56219,0.025704,0.476562,0.640625
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,1,0.133674,0.237848,0.012543,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,2,0.198141,0.294445,0.013022,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,4,0.25982,0.34907,0.013268,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,8,0.315144,0.399177,0.013388,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,16,0.364677,0.444866,0.013506,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,32,0.411544,0.486659,0.013663,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,64,0.453339,0.524455,0.013797,0.16452,0.527344
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,1,0.077537,0.101085,0.009014,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,2,0.126452,0.149582,0.010782,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,4,0.186988,0.203935,0.012366,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,8,0.239336,0.259108,0.013741,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,16,0.284006,0.31067,0.014967,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,32,0.325072,0.357392,0.016265,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,64,0.367871,0.39965,0.017338,0.020508,0.25
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,1,0.114301,0.165693,0.017181,0.077026,0.429688
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,2,0.161377,0.222361,0.018513,0.077026,0.429688
