family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,1,0.233434,0.264676,0.007752,0.148926,0.246094
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,2,0.275306,0.312746,0.008507,0.148926,0.246094
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,,4,512,1.682812,4,0.325488,0.355969,0.009234,0.148926,0.246094
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,1,0.213107,0.230651,0.011057,0.023438,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,2,0.271222,0.281788,0.01312,0.023438,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,0,4,128,1.682812,4,0.323541,0.331355,0.014852,0.023438,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,1,0.192385,0.210182,0.011499,0.03125,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,2,0.229982,0.260369,0.013648,0.03125,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,1,4,128,1.682812,4,0.264617,0.301087,0.015251,0.03125,0.070312
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,1,0.2201,0.252535,0.013166,0.130859,0.289062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,2,0.258079,0.293905,0.014572,0.130859,0.289062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,2,4,128,1.682812,4,0.306634,0.331901,0.016434,0.130859,0.289062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,1,0.319977,0.365335,0.020635,0.410156,0.554688
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,2,0.372938,0.414922,0.021903,0.410156,0.554688
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-07-14_nla-av,qwen36-27b/2026-07-14_nla-av,hf,,3,4,128,1.682812,4,0.421429,0.459531,0.023058,0.410156,0.554688
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,1,0.094643,0.183561,0.011608,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,2,0.147802,0.233365,0.012157,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,4,0.201165,0.2858,0.012531,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,8,0.258557,0.337208,0.012893,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,16,0.31373,0.386763,0.013127,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,32,0.356916,0.434619,0.013534,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,,64,512,1.682812,64,0.402611,0.479324,0.014099,0.128082,0.402344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,1,0.047127,0.069066,0.0069,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,2,0.08064,0.108232,0.008523,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,4,0.124969,0.155969,0.00996,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,8,0.176436,0.207147,0.011343,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,16,0.225956,0.260945,0.012693,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,32,0.281559,0.314121,0.014411,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,0,64,128,1.682812,64,0.321865,0.363879,0.016384,0.010254,0.117188
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,1,0.070153,0.100474,0.012696,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,2,0.116195,0.146469,0.014358,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,4,0.174097,0.199702,0.015904,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,8,0.236706,0.254293,0.01763,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,16,0.303366,0.308132,0.019047,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,32,0.342426,0.358764,0.020959,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,64,0.386197,0.407134,0.023064,0.039185,0.234375
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,1,0.097622,0.157181,0.017825,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,2,0.15013,0.210486,0.019308,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,4,0.195638,0.265097,0.02075,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,8,0.251896,0.316304,0.022445,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,16,0.294513,0.364127,0.023682,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,32,0.336547,0.410269,0.025532,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,64,0.371583,0.45667,0.027762,0.084595,0.5
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,1,0.222251,0.407521,0.032923,0.378296,0.757812
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,2,0.303693,0.468275,0.033249,0.378296,0.757812
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,4,0.360254,0.522431,0.033303,0.378296,0.757812
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,8,0.425957,0.571088,0.033328,0.378296,0.757812
