arm,family,n,bo64_asym,bo64_centred,bo64_raw,corpus_top1,corpus_size_m,control_bo64,delta,ci_lo,ci_hi,se_clustered,n_clusters,win_frac,outcome,lid_top1_rate,lid_top4_rate,code_like_top1_rate,classifier_ceiling,ceiling_kind
c,code,16,0.4056019375,0.7984311875,0.8864369999999999,0.30023125,1.0,0.008298250000000002,0.10537068749999999,0.05252610156249999,0.1581459046875,0.02734075260632806,16,0.875,exceeds,,,0.0,0.14402173913043478,code_like
go,code,16,0.330464625,0.711313875,0.8570833125,0.27979625,1.0,-0.0133063125,0.050668375,0.011006857812499994,0.09431998750000001,0.02119620251443061,16,0.6875,exceeds,,,0.0,0.008152173913043478,code_like
haskell,code,16,0.38960818750000004,0.8002575624999999,0.8932809375,0.32561687500000003,1.0,0.015964625000000003,0.06399131249999998,0.01710039843749998,0.11119675781249999,0.023438846224850787,16,0.625,exceeds,,,0.0,0.10054347826086957,code_like
javascript,code,16,0.33323837500000003,0.7392641875,0.8514140625,0.20675749999999998,1.0,-0.030938874999999998,0.126480875,0.07964302499999999,0.17972990781249995,0.025602143494336912,16,0.9375,exceeds,,,0.0625,0.22010869565217392,code_like
python,code,16,0.358370125,0.7187649375,0.85497275,0.21241812499999999,1.0,0.007889687499999996,0.145952,0.05277315625000001,0.2502396828125,0.051738186856917306,16,0.875,exceeds,,,0.0625,0.06793478260869565,code_like
rust,code,16,0.320836125,0.7298920624999999,0.859317875,0.195430625,1.0,-0.0199575625,0.1254055,0.06881276249999999,0.1802191953125,0.02850030945978287,16,0.875,exceeds,,,0.0,0.25815217391304346,code_like
shell,code,16,0.40176918749999996,0.784756875,0.8903841874999999,0.273071875,1.0,0.021989062500000003,0.1286973125,0.074846996875,0.19191386718749992,0.02940484017787272,16,0.875,exceeds,,,0.0,0.019021739130434784,code_like
sql,code,16,0.348225625,0.74356025,0.8756320625,0.329878125,1.0,0.02213575,0.0183475,-0.021060679687500007,0.06004829999999998,0.020488825818252624,16,0.625,inconclusive,,,0.0,0.008152173913043478,code_like
ufw_en,ctrl,16,0.55917825,0.866831625,0.9362492499999999,0.30224249999999997,1.0,0.1205544375,0.25693575,0.2099926015625,0.31261336875,0.026809608590680545,16,1.0,exceeds,1.0,1.0,,0.8342391304347826,lid
ufw_zh,ctrl,16,0.5713395,0.8623913125,0.9317584375000001,0.356673125,1.0,0.15534281249999998,0.214666375,0.16787149375000004,0.266407459375,0.025614078286365506,16,1.0,exceeds,1.0,1.0,,0.8586956521739131,lid
formulas,diag,16,0.36091625,0.7572561875,0.859421375,0.32580312499999997,1.0,0.0293834375,0.03511312499999999,-0.0030137531250000065,0.07395305312499997,0.020113256072437507,16,0.8125,inconclusive,,,0.0,0.0,code_like
arb_Arab,lang,16,0.5042801875,0.8631144375,0.925186625,0.3305975,1.0,0.0799060625,0.1736826875,0.133269253125,0.21444524062499998,0.021009879579672864,16,1.0,exceeds,0.8125,0.875,,0.8668478260869565,lid
