arm,family,n,bo8_centred,bo64_centred,bo64_asym,bo64_raw,corpus_top1,corpus_size_m,control_bo8,control_bo64,delta8,ci8_lo,ci8_hi,se8_clustered,n8,n8_clusters,win8_frac,outcome8,delta,ci_lo,ci_hi,se_clustered,n_clusters,win_frac,outcome,floor_median,floor_p99,nll_ctx,bpb_ctx,nll_n,lid_top1_rate,lid_top4_rate,code_like_top1_rate,classifier_ceiling,ceiling_kind
c,code,512,0.7370999192205616,0.780964470703125,0.440815896484375,0.885143220703125,0.71086234375,10.0,0.2178090699885103,0.27748524609375,0.02623757547056151,0.013354889484409424,0.03880702587338148,0.006245170811911611,512,512,0.5390625,exceeds,0.07010212695312501,0.057528405566406246,0.08246839448242188,0.006072443562556616,512,0.685546875,exceeds,0.105224609375,0.436279296875,0.7910841992187501,0.32870646484375,512,,,0.01171875,0.1317471590909091,code_like
go,code,512,0.6964893978148657,0.742835244140625,0.378459181640625,0.8647377109374998,0.7137374999999999,10.0,0.2163612384984479,0.27226499804687504,-0.017248102185134267,-0.029943042384066944,-0.004641008608992685,0.0065827782905675866,512,512,0.41015625,reversed,0.029097744140625,0.01665476557617188,0.0413451131347656,0.006442102918405079,512,0.546875,exceeds,0.1243896484375,0.460205078125,0.69544138671875,0.30328,512,,,0.0,0.008611505681818182,code_like
haskell,code,512,0.7076148962821309,0.753001802734375,0.3922673671875,0.8730224531249999,0.72085015625,10.0,0.20180166171753733,0.254245892578125,-0.01323525996786902,-0.023747764725714333,-0.002339739828863015,0.0052907529298245265,512,512,0.40625,reversed,0.032151646484375,0.02205467983398438,0.042346320996093735,0.0051257866219006415,512,0.572265625,exceeds,0.13916015625,0.489013671875,1.2678740429687498,0.47691505859375005,512,,,0.01953125,0.07883522727272728,code_like
javascript,code,512,0.6992818263965483,0.74653886328125,0.377363890625,0.86064488671875,0.6694159960937499,10.0,0.22331635664101807,0.281840427734375,0.02986583030279837,0.01571208087980158,0.04401316441820542,0.007384617041329835,512,512,0.576171875,exceeds,0.0771228671875,0.06340550258789063,0.09095254931640624,0.007130468141874313,512,0.697265625,exceeds,0.12054443359375,0.410400390625,0.9821673046874999,0.4221050390625,512,,,0.052734375,0.11123934659090909,code_like
python,code,512,0.7190150746149166,0.768515546875,0.413495921875,0.878427849609375,0.6713025390625,10.0,0.22163859143615383,0.28393265624999997,0.04771253555241669,0.03441024922860367,0.06077818547720683,0.007145521360378777,512,512,0.625,exceeds,0.0972130078125,0.08465501245117188,0.10960434057617188,0.006617831073417268,512,0.759765625,exceeds,0.09716796875,0.40283203125,1.0560355078125,0.39462591796875,512,,,0.0078125,0.05264559659090909,code_like
rust,code,512,0.7023187235978624,0.74818075,0.36794783007812504,0.87023082421875,0.6889356249999999,10.0,0.20770899107969681,0.261539662109375,0.013383098597862393,0.0014439137166062542,0.02557750726199049,0.0061712953258245525,512,512,0.474609375,exceeds,0.059245125,0.04765595473632813,0.0710960892578125,0.005963401492848084,512,0.63671875,exceeds,0.12939453125,0.443115234375,0.99329455078125,0.4129094921875,512,,,0.0703125,0.22416548295454544,code_like
shell,code,512,0.7229434611445354,0.76606562890625,0.38636918359374994,0.883220798828125,0.7118944921874999,4.0,0.23932208802671878,0.304357943359375,0.011048968957035445,-0.0013190113479911595,0.0230564366010017,0.006271286356972236,512,512,0.52734375,inconclusive,0.05417113671875,0.042119532568359375,0.06585730166015624,0.006083337115540075,512,0.65234375,exceeds,0.11517333984375,0.46435546875,1.24259640625,0.55224041015625,512,,,0.00390625,0.026455965909090908,code_like
sql,code,512,0.7007995644386896,0.746234021484375,0.375726462890625,0.869077302734375,0.7160618554687499,10.0,0.23967646863644507,0.302013501953125,-0.0152622910300604,-0.028469464749887232,-0.002115376683814484,0.00678170540483595,512,512,0.400390625,reversed,0.030172166015625,0.017660288769531254,0.04259391015625,0.006452460975829596,512,0.548828125,exceeds,0.1400146484375,0.4736328125,0.9316288671875,0.45273431640624995,512,,,0.00390625,0.010387073863636364,code_like
ufw_en,ctrl,512,0.8276587370859295,0.8545481875000001,0.58847080078125,0.933410423828125,0.5856609570312501,10.0,0.18819388659259761,0.26489725195312497,0.2419977800546796,0.23181048003828592,0.2521621742022831,0.00521870655996081,512,512,0.974609375,exceeds,0.26888723046875,0.2591094177246094,0.2785891260253906,0.0050231789531864765,512,0.986328125,exceeds,-0.0062103271484375,0.302490234375,2.25738169921875,0.68866083984375,512,0.990234375,0.99609375,,0.8591974431818182,lid
ufw_zh,ctrl,512,0.8090652769810435,0.84469417578125,0.5843025234375001,0.9221385546875001,0.6260095703124999,10.0,0.18345191295179009,0.243163158203125,0.18305570666854348,0.17150968139766576,0.19448598297723993,0.005948724803443249,512,512,0.919921875,exceeds,0.21868460546875,0.2074780287109375,0.22966041181640623,0.0057824964310733565,512,0.951171875,exceeds,0.020263671875,0.330810546875,2.7260002734375,0.9030299218750001,512,0.724609375,0.83203125,,0.7137784090909091,lid
