key,value,se,lo,hi,n,status,run,source,date,note
ood.c.diff.cos.bo8,0.0262,0.0062,0.0134,0.0388,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.c.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.c.ex.cos.bo8,0.7371,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.c.corp10.cos,0.7109,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.c.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.c.base.cos.bo8,0.2178,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.c.base.bpb,0.3287,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.c.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.012 vs ceiling 0.132 on the arm's own corpus windows
ood.c.corp10.lid,0.132,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.go.diff.cos.bo8,-0.0172,0.0066,-0.0299,-0.0046,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.go.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.go.ex.cos.bo8,0.6965,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.go.corp10.cos,0.7137,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.go.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.go.base.cos.bo8,0.2164,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.go.base.bpb,0.3033,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.go.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.000 vs ceiling 0.009 on the arm's own corpus windows
ood.go.corp10.lid,0.009,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.haskell.diff.cos.bo8,-0.0132,0.0053,-0.0237,-0.0023,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.haskell.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.haskell.ex.cos.bo8,0.7076,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.haskell.corp10.cos,0.7209,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.haskell.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.haskell.base.cos.bo8,0.2018,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.haskell.base.bpb,0.4769,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.haskell.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.020 vs ceiling 0.079 on the arm's own corpus windows
ood.haskell.corp10.lid,0.079,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.javascript.diff.cos.bo8,0.0299,0.0074,0.0157,0.0440,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.javascript.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.javascript.ex.cos.bo8,0.6993,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.javascript.corp10.cos,0.6694,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.javascript.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.javascript.base.cos.bo8,0.2233,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.javascript.base.bpb,0.4221,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.javascript.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.053 vs ceiling 0.111 on the arm's own corpus windows
ood.javascript.corp10.lid,0.111,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.python.diff.cos.bo8,0.0477,0.0071,0.0344,0.0608,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.python.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.python.ex.cos.bo8,0.7190,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.python.corp10.cos,0.6713,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.python.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.python.base.cos.bo8,0.2216,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.python.base.bpb,0.3946,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.python.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.008 vs ceiling 0.053 on the arm's own corpus windows
ood.python.corp10.lid,0.053,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.rust.diff.cos.bo8,0.0134,0.0062,0.0014,0.0256,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.rust.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.rust.ex.cos.bo8,0.7023,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.rust.corp10.cos,0.6889,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.rust.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.rust.base.cos.bo8,0.2077,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.rust.base.bpb,0.4129,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.rust.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.070 vs ceiling 0.224 on the arm's own corpus windows
ood.rust.corp10.lid,0.224,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.shell.diff.cos.bo8,0.0110,0.0063,-0.0013,0.0231,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"bo8 centred minus own-domain corpus top-1; own-domain corpus at 4M, not 10M"
ood.shell.diff.verdict,inconclusive,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.shell.ex.cos.bo8,0.7229,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.shell.corp10.cos,0.7119,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"own-domain corpus at 4M, not 10M"
ood.shell.corp10.mtok,4,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"own-domain corpus at 4M, not 10M"
ood.shell.base.cos.bo8,0.2393,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.shell.base.bpb,0.5522,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.shell.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.004 vs ceiling 0.026 on the arm's own corpus windows
ood.shell.corp10.lid,0.026,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.sql.diff.cos.bo8,-0.0153,0.0068,-0.0285,-0.0021,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.sql.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.sql.ex.cos.bo8,0.7008,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.sql.corp10.cos,0.7161,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.sql.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.sql.base.cos.bo8,0.2397,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.sql.base.bpb,0.4527,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.sql.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.004 vs ceiling 0.010 on the arm's own corpus windows
ood.sql.corp10.lid,0.010,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.en.diff.cos.bo8,0.2420,0.0052,0.2318,0.2522,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.en.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.en.ex.cos.bo8,0.8277,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.en.corp10.cos,0.5857,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.en.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.en.base.cos.bo8,0.1882,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.en.base.bpb,0.6887,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
