arm,family,n,bo8_centred,en_top1,en_size_m,delta8,ci8_lo,ci8_hi,se8_clustered,n8_clusters,win8_frac,outcome8,own_top1,own_size_m,own_delta8
c,code,512,0.7370999192205616,0.45542517578125,10.0,0.28167474343931154,0.26852922630200576,0.2939197669171935,0.006186797970261113,512,0.97265625,exceeds,0.71086234375,10.0,0.02623757547056151
go,code,512,0.6964893978148657,0.4131314453125,10.0,0.28335795250236573,0.2697093429885039,0.2968896520157498,0.007015681410235183,512,0.96484375,exceeds,0.7137374999999999,10.0,-0.017248102185134267
haskell,code,512,0.7076148962821309,0.42786197265625003,10.0,0.279752923625881,0.2680888457955569,0.2908861836136581,0.005916005137685905,512,0.990234375,exceeds,0.72085015625,10.0,-0.01323525996786902
javascript,code,512,0.6992818263965483,0.41554734375,10.0,0.2837344826465484,0.26980364827571335,0.29801390364715574,0.007199781194050275,512,0.966796875,exceeds,0.6694159960937499,10.0,0.02986583030279837
python,code,512,0.7190150746149166,0.44761162109374997,10.0,0.2714034535211667,0.25850809236487227,0.2840892802674207,0.006614684567128083,512,0.97265625,exceeds,0.6713025390625,10.0,0.04771253555241669
rust,code,512,0.7023187235978624,0.4016926953125,10.0,0.3006260282853624,0.28739922993629946,0.31356561637941854,0.006603615149366606,512,0.98046875,exceeds,0.6889356249999999,10.0,0.013383098597862393
shell,code,512,0.7229434611445354,0.4582225390625,10.0,0.26472092208203546,0.25234143169573015,0.2764128292324721,0.006272848474753106,512,0.96875,exceeds,0.7118944921874999,4.0,0.011048968957035445
sql,code,512,0.7007995644386896,0.481498671875,10.0,0.2193008925636896,0.20541447448078717,0.23305193458401594,0.007113467199231975,512,0.943359375,exceeds,0.7160618554687499,10.0,-0.0152622910300604
ufw_en,ctrl,512,0.8276587370859295,0.5794968359374999,10.0,0.2481619011484296,0.23778794177545504,0.2583024468502386,0.005249468931258706,512,0.978515625,exceeds,0.5856609570312501,10.0,0.2419977800546796
ufw_zh,ctrl,512,0.8090652769810435,0.4461724609375,10.0,0.3628928160435435,0.35122404349846625,0.3738346817945745,0.005886739469817822,512,0.994140625,exceeds,0.6260095703124999,10.0,0.18305570666854348
arb_Arab,lang,512,0.7815988367418327,0.46179267578125,10.0,0.3198061609605827,0.30931358864699887,0.3304216516487055,0.005332376039833561,512,0.99609375,exceeds,0.70958107421875,10.0,0.0720177625230827
ces_Latn,lang,512,0.7730951791556742,0.46649525390625,10.0,0.3065999252494242,0.29562527436809155,0.31731574585183353,0.00551810022738077,512,0.99609375,exceeds,0.6884196484375,10.0,0.08467553071817417
cmn_Hani,lang,512,0.8071049744635188,0.45281166015625,10.0,0.35429331430726874,0.3433348212512725,0.364791558965037,0.0055007530663422595,512,0.9921875,exceeds,0.65946634765625,10.0,0.1476386268072688
ell_Grek,lang,512,0.7147763095593263,0.46066330078125,10.0,0.2541130087780762,0.24379081872213507,0.26463493159464274,0.00542043043102406,512,0.98828125,exceeds,0.703559375,10.0,0.011216934559326208
hin_Deva,lang,512,0.7522664310172045,0.43876740234375,10.0,0.31349902867345447,0.30290861240763267,0.3243246367447467,0.00537882684833551,512,0.9921875,exceeds,0.78495099609375,10.0,-0.03268456507654549
jpn_Jpan,lang,512,0.7845152659053998,0.423374765625,10.0,0.3611405002803998,0.3486988668536205,0.3734549377001639,0.006196082949016587,512,0.99609375,exceeds,0.69143513671875,10.0,0.09308012918664976
rus_Cyrl,lang,512,0.8025707125759872,0.47908859375,10.0,0.3234821188259872,0.3132829337589375,0.3334627478003918,0.005298629513116733,512,0.990234375,exceeds,0.67119193359375,10.0,0.1313787789822372
tha_Thai,lang,512,0.7420283370069384,0.4205104296875,10.0,0.3215179073194384,0.30975708364982374,0.33294152109174735,0.006001507966810626,512,0.9921875,exceeds,0.790618046875,10.0,-0.048589709868061604
arxiv,math,512,0.7890527773446626,0.5237270703125,10.0,0.26532570703216257,0.25474557484856475,0.27566281569477397,0.005449633529212967,512,0.986328125,exceeds,0.653252109375,10.0,0.1358006679696626
isabelle,math,512,0.6821350879937824,0.427876328125,10.0,0.25425875986878244,0.24159709683367853,0.26689986145427064,0.006345425779086097,512,0.970703125,exceeds,0.77104037109375,10.0,-0.08890528309996758
lean,math,512,0.73173912255393,0.41514906250000005,10.0,0.31659006005393,0.30563228565179423,0.32729183332297207,0.005676537779151679,512,0.994140625,exceeds,0.7923207812499999,10.0,-0.06058165869607006
owm,math,512,0.7730881282762361,0.5071682226562501,10.0,0.265919905619986,0.255411928629497,0.27668525664365606,0.0055362167048644195,512,0.982421875,exceeds,0.60089203125,10.0,0.17219609702623603
