key,value,se,lo,hi,n,status,run,source,date,note
ood.c.encorp10.cos,0.4554,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.c.endiff.cos.bo8,0.2817,0.0062,0.2685,0.2939,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.c.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.go.encorp10.cos,0.4131,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.go.endiff.cos.bo8,0.2834,0.0070,0.2697,0.2969,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.go.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.haskell.encorp10.cos,0.4279,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.haskell.endiff.cos.bo8,0.2798,0.0059,0.2681,0.2909,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.haskell.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.javascript.encorp10.cos,0.4155,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.javascript.endiff.cos.bo8,0.2837,0.0072,0.2698,0.2980,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.javascript.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.python.encorp10.cos,0.4476,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.python.endiff.cos.bo8,0.2714,0.0066,0.2585,0.2841,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.python.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.rust.encorp10.cos,0.4017,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.rust.endiff.cos.bo8,0.3006,0.0066,0.2874,0.3136,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.rust.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.shell.encorp10.cos,0.4582,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.shell.endiff.cos.bo8,0.2647,0.0063,0.2523,0.2764,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.shell.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.sql.encorp10.cos,0.4815,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.sql.endiff.cos.bo8,0.2193,0.0071,0.2054,0.2331,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.sql.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.en.encorp10.cos,0.5795,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
