COLLOCATION / COMPLETION FEATURES the MAEMM fails on
(detector: the token AFTER the peak is the same across examples -> the feature encodes a continuation)

feat        peak    fire%   maemm  fires on     next token    typical span
65496      201.0  0.0035%    0.01  '.blogspot'  '.com'        'st-line.blogspot.com/'  [93%]
65217      108.0  0.0997%    2.70  'http'       '://'         ' here:\nhttp://en'  [100%]
64331      166.0  0.4137%    0.00  ' at'        ' WordPress'  '\tBlog at WordPress.com'  [100%]
63837      141.0  0.0122%    2.32  ' <'         'http'        '14 <http://'  [93%]
63434      120.5  0.0126%    0.00  ' For'       ' Life'       ' its Relay For Life fundra'  [93%]
63315       81.0  0.0283%    0.00  ' David'     ' Z'          ' By: David Zieve'  [93%]
62114       97.5  0.4316%    0.00  'on'         'bury'        ' Glaston'  [100%]
61350        7.2  0.0995%    0.00  ' no'        ' let'        ' they say no let them'  [100%]
60970      152.0  0.0054%    0.00  ' AN'        'GE'          '\nLOS ANGELES'  [100%]
58861      192.0  0.0075%    0.00  ' of'        ' New'        'State University of New York'  [93%]
58456      209.0  0.0142%    0.00  'Display'    'ing'         ' News\nDisplaying '  [93%]
58150      156.0  0.0117%    0.00  ' Monday'    ','           'Published: Monday, Dec'  [93%]
55811      155.0  0.0199%    5.83  ' News'      ')'           'HealthDay News) --'  [100%]
55126      139.0  0.0019%    0.00  'ord'        'inaire'      ' performer extraordinaire,'  [100%]
53871       93.5  0.0066%    0.00  ' du'        ' Sole'       ' Cirque du'  [93%]
51161       81.5  0.0044%    0.80  'uer'        'ite'         ' and Marguerite McDonald'  [97%]
49483      104.5  0.0299%    5.70  ' October'   ' '           'Wednesday, October 2'  [100%]
49471      112.5  0.0693%    5.02  ' gave'      ' up'         '1) gave up two'  [93%]
48735      184.0  0.0178%    0.00  '-'          '4'           '18-49'  [100%]
48213       91.0  0.0742%    8.47  '9'          ' yards'      '249 yards -'  [93%]
47617      227.0  0.0595%    0.00  ' this'      ' review'     ' people found this review helpful'  [93%]
47016       95.0  0.0054%    0.00  'UPI'        ')'           '2 (UPI'  [100%]
46983      192.0  0.0195%    0.00  ' this'      ' report'     ' contributed to this report.'  [93%]
46080      201.0  0.0010%    0.00  'lis'        'berger'      ' Roethlisberger is'  [100%]
45951       43.5  0.0172%    0.00  ' |'         ' contrib'    ' (Talk | contribs'  [100%]
45935      126.0  0.0175%    0.00  ' epit'      'ome'         "'s the epitome of"  [93%]
45449      160.0  0.0065%    0.49  'quotes'     '/z'          '. /quotes/zig'  [100%]
