feature,corpus_peak,ex_last,fires_on,maemm_rl_encoder,maemm_encoder_trained,maemm_decoder_untrained,maemm_decoder_trained,human_act,human_pct_of_peak,top_corpus_example,human_written_sentence
5600,239.0,69.5,'\n',0.0,0.0,0.0,0.0,207.98,87,"684 F.2d 255\n217 U.S.P.Q. 15\nJames Q. HORNE, Jr","991 F.3d 1204\n2021-2 Trade Cases 41,509\nMARIA T. ALVAREZ, Appellant, v. UNITED STATES of America"
5600,239.0,69.5,'\n',0.0,0.0,0.0,0.0,241.45,101,"684 F.2d 255\n217 U.S.P.Q. 15\nJames Q. HORNE, Jr","512 F.2d 883\nNATIONAL LABOR RELATIONS BOARD, Petitioner, v. WESTBROOK MANUFACTURING CO."
9551,203.0,155.0,'win',0.0,0.0,0.0,0.0,196.54,97,"9, 2013. She was born April 19, 1937, in Gwinnett County, the oldest daughter","She was born on March 3, 1948, in Gwinnett County, the youngest of four daughters."
9551,203.0,155.0,'win',0.0,0.0,0.0,0.0,187.77,92,"9, 2013. She was born April 19, 1937, in Gwinnett County, the oldest daughter",The Braves' Triple-A affiliate plays in Gwinnett County and drew record crowds last summer.
46080,201.0,190.0,'lis',0.0,0.0,0.0,0.0,191.62,95,"'s likely they'll have Byron Leftwich at quarterback, backed up by Charlie Batch. Roethlisberger is officially listed as questionable for the game, but",Ben Roethlisberger threw for 312 yards and two touchdowns before leaving in the fourth quarter.
46080,201.0,190.0,'lis',0.0,0.0,0.0,0.0,191.96,96,"'s likely they'll have Byron Leftwich at quarterback, backed up by Charlie Batch. Roethlisberger is officially listed as questionable for the game, but","Backed up by Charlie Batch, Roethlisberger is listed as questionable for Sunday."
14345,192.0,188.0,'erm',0.0,0.0,0.0,0.0,173.18,90,"and MVC) record for points by a freshman with 581 in 2010-11. Last season, McDermott had",Doug McDermott had 21 points and 11 rebounds to lead Creighton past North Texas.
14345,192.0,188.0,'erm',0.0,0.0,0.0,0.0,169.96,89,"and MVC) record for points by a freshman with 581 in 2010-11. Last season, McDermott had",Either Wragge or McDermott has hit three or more threes in each of the last four games.
54861,179.0,164.0,'7',0.0,0.0,0.0,0.0,176.25,98,lasfundservices.com\nUSA - WEST\n4100 Newport Place Suite 750\nAra Hill BuildingPletterijweg Oost,"Corporate headquarters: 3945 Freedom Circle, Suite 640, Santa Clara, CA"
54861,179.0,164.0,'7',0.0,0.0,0.0,0.0,160.77,90,lasfundservices.com\nUSA - WEST\n4100 Newport Place Suite 750\nAra Hill BuildingPletterijweg Oost,"Midwest District Office\n8500 Keystone Crossing Suite 400 Indianapolis, IN 46240"
947,177.0,142.0,'Photo',0.0,0.0,0.0,0.0,131.66,74,"against Mike Jenkins #21 of the Dallas Cowboys at Cowboys Stadium on December 16, 2012 in Arlington, Texas. (Photo","Jimmy Fallon performs at Rockefeller Center on July 18, 2011 in New York City. (Photo by Theo Wargo/Getty Images)"
947,177.0,142.0,'Photo',0.0,0.0,0.0,0.0,129.51,73,"against Mike Jenkins #21 of the Dallas Cowboys at Cowboys Stadium on December 16, 2012 in Arlington, Texas. (Photo","The Tigers celebrate at Comerica Park on October 16, 2013 in Detroit, Michigan. (Photo by Jamie Squire/Getty Images)"
56977,162.0,69.5,'6',0.0,0.0,0.0,0.0,155.28,96,"better and more sustainable places.\nbeam — arts, people, places\nCompany registration: 2059168 Charity No: 32",Company registered in England and Wales under registered number: 3218125. VAT No. 655 4421 09
56977,162.0,69.5,'6',0.0,0.0,0.0,0.0,142.47,88,"better and more sustainable places.\nbeam — arts, people, places\nCompany registration: 2059168 Charity No: 32","— arts, people, places\nCompany registration: 2059168 Charity No: 327441"
60054,159.0,133.0,' Sch',0.0,0.0,0.0,0.0,106.24,67,and all because he pivoted on Tuesday night.\nposted by Eric Schansberg @ 5:19 PM 0 Comments\nName: Eric Sch,posted by Eric Schansberg @ 5:19 PM 0 Comments
60054,159.0,133.0,' Sch',0.0,0.0,0.0,0.0,155.2,98,and all because he pivoted on Tuesday night.\nposted by Eric Schansberg @ 5:19 PM 0 Comments\nName: Eric Sch,Hurricanes captain Eric Staal extended his point streak to eight games on Tuesday.
